time,C,I,V,c_a_max,c_a_min,c_c_max,c_c_min,mass_a,mass_c,mass_e,pulse_out
0,0,0,0,0.00768,0.00768,0.00768,0.00768,1.152e-05,9.216e-06,3.303e-08,0.01
0.5,-0.0001468326241241,0.00029366524824821,0.6714084137811,0.0076825357245883,0.0076803223361024,0.0076794469258988,0.0076771639837273,1.1521521818149e-05,9.2145016805087e-06,3.303e-08,0.01
1.5,-0.00043237007565778,0.00028553745153368,0.57528269721775,0.0076850746069349,0.0076818031346309,0.0076773837568038,0.0076743616164297,1.1524481215481e-05,9.2116011411701e-06,3.303e-08,0.01
2.5,-0.00071486096191999,0.00028249088626221,0.55083482307967,0.0076871782679208,0.0076835987986382,0.0076750662643719,0.0076718949131495,1.152740903728e-05,9.2087259865558e-06,3.303e-08,0.01
3.5,-0.0009963786419352,0.00028151768001521,0.5443359589398,0.0076891695347316,0.0076854952399288,0.0076726903502809,0.0076694925129812,1.1530326772472e-05,9.2058566493274e-06,3.303e-08,0.01
4.5,-0.0012776017826814,0.00028122314074617,0.54256757220485,0.0076911289033709,0.0076874222038689,0.0076703016525069,0.0076671035008467,1.1533241454969e-05,9.2029885839763e-06,3.303e-08,0.01
5.5,-0.0015587373378896,0.00028113555520824,0.54207753486546,0.0076930789765235,0.0076893582465518,0.0076679102043124,0.0076647173274509,1.1536155229703e-05,9.2001207921957e-06,3.303e-08,0.01
6.5,-0.0018398469877332,0.00028110964984356,0.54193971334397,0.0076950263178668,0.0076912969747072,0.0076655181688482,0.0076623317565143,1.1539068735946e-05,9.1972530588221e-06,3.303e-08,0.01
7.5,-0.0021209489864842,0.00028110199875108,0.54190051867911,0.0076969728546346,0.0076932364960372,0.0076631260092317,0.0076599463117158,1.154198216289e-05,9.1943853377952e-06,3.303e-08,0.01
8.5,-0.0024020487295285,0.00028109974304427,0.54188931406676,0.0076989191549699,0.0076951762512174,0.0076607338242754,0.0076575608915664,1.1544895566456e-05,9.1915176192877e-06,3.303e-08,0.01
9.5,-0.0026831478121435,0.00028109908261502,0.54188614019906,0.0077008653867135,0.0076971160748677,0.0076583416350177,0.0076551754744651,1.1547808963177e-05,9.1886499012071e-06,3.303e-08,0.01
10.5,-0.0029642467064407,0.00028109889429718,0.5418852907749,0.0077028115995223,0.0076990559180449,0.0076559494459307,0.0076527900558194,1.1550722357946e-05,9.1857821831088e-06,3.303e-08,0.01
11.5,-0.003245345552288,0.00028109884584724,0.54188511886798,0.0077047578081057,0.0077009957662491,0.0076535572579644,0.0076504046346529,1.1553635752213e-05,9.1829144648982e-06,3.303e-08,0.01
12.5,-0.0035264443911664,0.00028109883887848,0.54188514554374,0.0077067040168258,0.0077029356151798,0.007651165071321,0.0076480192107565,1.1556549146408e-05,9.1800467465553e-06,3.303e-08,0.01
13.5,-0.0038075432353886,0.00028109884422222,0.54188523068567,0.007708650226977,0.0077048754635606,0.0076487728860445,0.0076456337840836,1.1559462540658e-05,9.1771790280756e-06,3.303e-08,0.01
14.5,-0.0040886420886093,0.00028109885322063,0.54188533310454,0.007710596438943,0.0077068153110127,0.0076463807021452,0.0076432483546222,1.1562375935001e-05,9.1743113094581e-06,3.303e-08,0.01
15.5,-0.0043697409519102,0.00028109886330089,0.54188544064579,0.0077125426528372,0.0077087551574238,0.0076439885196264,0.0076408629223674,1.1565289329449e-05,9.1714435907026e-06,3.303e-08,0.01
16.5,-0.0046508398256077,0.00028109887369755,0.54188554971122,0.0077144888686924,0.0077106950027613,0.0076415963384901,0.0076384774873159,1.1568202724005e-05,9.1685758718088e-06,3.303e-08,0.01
17.5,-0.0049319387097903,0.00028109888418258,0.54188565923309,0.0077164350865174,0.0077126348470158,0.0076392041587377,0.0076360920494647,1.1571116118669e-05,9.1657081527765e-06,3.303e-08,0.01
18.5,-0.0052130376044783,0.00028109889468803,0.54188576889409,0.0077183813063141,0.0077145746901852,0.0076368119803707,0.0076337066088109,1.1574029513442e-05,9.1628404336057e-06,3.303e-08,0.01
19.5,-0.0054941365096719,0.00028109890519357,0.54188587859953,0.007720327528082,0.0077165145322696,0.0076344198033905,0.0076313211653514,1.1576942908324e-05,9.1599727142961e-06,3.303e-08,0.01
20.5,-0.0057752354253651,0.00028109891569317,0.54188598832158,0.0077222737518202,0.0077184543732695,0.0076320276277987,0.0076289357190834,1.1579856303315e-05,9.1571049948477e-06,3.303e-08,0.01
21.5,-0.0060563343515501,0.00028109892618505,0.54188609805198,0.0077242199775278,0.0077203942131856,0.0076296354535966,0.0076265502700038,1.1582769698415e-05,9.1542372752602e-06,3.303e-08,0.01
22.5,-0.0063374332882188,0.00028109893666866,0.54188620778834,0.0077261662052037,0.0077223340520189,0.0076272432807857,0.0076241648181098,1.1585683093623e-05,9.1513695555336e-06,3.303e-08,0.01
23.5,-0.0066185322353626,0.00028109894714384,0.54188631753015,0.0077281124348468,0.0077242738897701,0.0076248511093675,0.0076217793633984,1.158859648894e-05,9.1485018356676e-06,3.303e-08,0.01
24.5,-0.0068996311929732,0.00028109895761057,0.54188642727742,0.0077300586664564,0.0077262137264401,0.0076224589393435,0.0076193939058665,1.1591509884365e-05,9.1456341156623e-06,3.303e-08,0.01
25.5,-0.0071807301610421,0.00028109896806888,0.54188653703047,0.0077320049000315,0.0077281535620297,0.0076200667707151,0.0076170084455112,1.1594423279899e-05,9.1427663955173e-06,3.303e-08,0.01
